NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6001050733,000000000000090655,Consumption,2024-07-15,No,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0375,0.0312,0.0375,0.0312,0.0375,0.0250,0.0437,0.0312,0.0375,0.0312,0.0375,0.0312,0.0375,0.0312,0.0375,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0312,0.0437,0.0250
6001050733,000000000000090655,Consumption,2024-07-16,No,0.0375,0.0375,0.0375,0.0375,0.0312,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0375,0.0312,0.0437,0.0312,0.0375,0.0250,0.0500,0.0250,0.0375,0.0312,0.0437,0.0375,0.0312,0.0437,0.0312,0.0375,0.0250,0.0500,0.0312,0.0375,0.0437,0.0312,0.0437,0.0250,0.0437,0.0312,0.0375,0.0437,0.0312,0.0437
6001050733,000000000000090655,Consumption,2024-07-17,No,0.0250,0.0437,0.0250,0.0437,0.0312,0.0437,0.0375,0.0250,0.0500,0.0250,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0375,0.0312,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0437,0.0312,0.0437,0.0312,0.0500,0.0687,0.1000,0.0687,0.0500,0.0375,0.0375,0.0500,0.0250,0.0437,0.0250,0.0500,0.0312,0.0375
6001050733,000000000000090655,Consumption,2024-07-18,No,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0375,0.0375,0.0375,0.0312,0.0375,0.0312,0.0437,0.0250,0.0375,0.0312,0.0437,0.0250,0.0375,0.0375,0.0375,0.0312,0.0312,0.0437,0.0312,0.0375,0.0250,0.0500,0.0250,0.0375,0.0312,0.0437,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0500,0.0250,0.0437,0.0312,0.0375,0.0375,0.0312,0.0437,0.0250
6001050733,000000000000090655,Consumption,2024-07-19,No,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0312,0.0312,0.0375,0.0375,0.0375,0.0312,0.0375,0.0312,0.0375,0.0250,0.0437,0.0312,0.0375,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.0375,0.0375,0.0375,0.0375,0.0250,0.0500,0.0250,0.0375,0.0312,0.0437,0.0250,0.0375,0.0312
6001050733,000000000000090655,Consumption,2024-07-20,No,0.0437,0.0250,0.0437,0.0312,0.0375,0.0375,0.0312,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0250,0.0437,0.0312,0.7562,2.0187,1.9875,1.9062,1.6437,1.5000,1.3750,1.2437,1.1250,1.0312,1.0000,0.6125,0.2687,0.1125,0.0437,0.0625,0.0375,0.0625,0.0500,0.0500,1.6875,2.1125,1.8875,1.6125,1.2750,1.3625,1.1875,1.1937,1.9375,1.3562,1.7125
6001050733,000000000000090655,Consumption,2024-07-21,No,1.2687,0.2000,0.0750,0.0562,0.0625,0.0625,0.0437,0.0687,0.0500,0.0625,0.0625,0.0437,0.0562,0.0375,0.0562,0.0375,0.0437,0.1062,2.9437,2.1000,1.6562,1.5812,1.0250,1.3562,0.8250,0.3187,0.1625,0.0625,0.0437,0.0562,0.0437,0.8375,1.0750,1.0187,0.7250,1.0437,1.1937,0.9312,0.7125,0.8562,0.7875,0.7937,0.7812,0.7937,0.7812,0.7687,0.7250,0.9437
6001050733,000000000000090655,Consumption,2024-07-22,No,1.5750,1.0312,0.3437,0.0687,0.0500,0.0437,0.0625,0.0500,0.0437,0.0562,0.0562,0.0437,0.0562,0.0562,0.0375,0.0562,0.2625,0.3250,0.7375,1.9625,1.1625,0.7500,0.6375,0.5750,0.5187,0.5000,0.2937,0.5437,0.3750,0.4312,0.3750,0.7312,0.9812,0.9500,0.8250,1.0625,0.6687,0.5000,0.6062,0.6000,0.6562,0.7125,0.6875,0.6500,0.5625,1.1375,0.7750,0.5250
6001050733,000000000000090655,Consumption,2024-07-23,No,0.0500,0.0625,0.0437,0.0625,0.0562,0.0437,0.0625,0.0500,0.0437,0.0500,0.0250,0.0625,0.0500,0.0562,0.1125,0.6000,0.1312,0.0687,0.0375,0.0437,0.0250,0.0437,0.0375,0.0312,0.0437,0.0250,0.0500,0.0312,0.0375,0.0437,0.0250,0.0500,0.0375,0.0312,0.0500,0.0250,0.0437,0.2125,0.2125,1.2812,1.0750,1.3437,1.4625,1.0812,1.2250,0.0812,0.0687,0.0750
6001050733,000000000000090655,Consumption,2024-07-24,No,0.0562,0.0437,0.0500,0.0562,0.0312,0.0562,0.0375,0.0437,0.0562,0.0312,0.0562,0.0312,0.0562,0.0437,0.0437,0.2250,0.1937,0.1875,0.0500,1.3250,1.9625,1.4625,1.2250,1.1750,0.9000,0.9062,0.8187,0.8125,0.7875,0.7312,0.7375,0.7437,0.5250,0.5312,0.4687,0.5125,0.8375,0.9562,0.7375,0.6812,0.8437,0.7250,0.7312,0.7062,0.6937,0.8875,1.0062,0.5750
