player_id,player_name,date,rating
aditya-subramanian,Aditya Subramanian,2018-01-28,1484
alberto-lara,Alberto Lara,2018-01-28,1580
alex-underhill,ALEX UNDERHILL,2018-01-28,1484
ashton-cox,Ashton Cox,2018-01-28,1516
carson-confer,Carson Confer,2018-01-28,1625.6
collin-heier,Collin Heier,2018-01-28,1580
dylan-salvanera,Dylan Salvanera,2018-01-28,1516.7
ellie-homen,Ellie Homen,2018-01-28,1516.1
enrique-grimaldo,Enrique Grimaldo,2018-01-28,1549.2
justin-burns,Justin Burns,2018-01-28,1515.9
kyle-livinghouse,Kyle Livinghouse,2018-01-28,1516.6
nick-navarre,Nick Navarre,2018-01-28,1516
patrick-donegan,Patrick Donegan,2018-01-28,1549.2
rajan-bal,Rajan Bal,2018-01-28,1548
trista-medine,Trista Medine,2018-01-28,1548
wolfe-glick,Wolfe Glick,2018-01-28,1580
alex-underhill,ALEX UNDERHILL,2018-02-17,1555.2
ashton-cox,Ashton Cox,2018-02-17,1620.9
carson-confer,Carson Confer,2018-02-17,1650.2
dylan-salvanera,Dylan Salvanera,2018-02-17,1614.8
john-mills,John Mills,2018-02-17,1471.9
joseph-ugarte,Joseph Ugarte,2018-02-17,1528.8
justin-burns,Justin Burns,2018-02-17,1543
logan-mazur,Logan Mazur,2018-02-17,1537.2
nick-navarre,Nick Navarre,2018-02-17,1591.8
alberto-lara,Alberto Lara,2018-03-04,1586.5
ellie-homen,Ellie Homen,2018-03-04,1515
enrique-grimaldo,Enrique Grimaldo,2018-03-04,1539.7
raghav-malaviya,Raghav Malaviya,2018-03-04,1570.4
riley-factura,Riley Factura,2018-03-04,1533.6
aaron-traylor,Aaron Traylor,2018-03-18,1517.2
aditya-subramanian,Aditya Subramanian,2018-03-18,1542
ashton-cox,Ashton Cox,2018-03-18,1678.5
ben-grissmer,Ben Grissmer,2018-03-18,1550.3
chuppa-cross-iv,Chuppa Cross IV,2018-03-18,1552.8
collin-heier,Collin Heier,2018-03-18,1625.1
nick-navarre,Nick Navarre,2018-03-18,1555.2
paul-chua,Paul Chua,2018-03-18,1470
rajan-bal,Rajan Bal,2018-03-18,1587.7
wolfe-glick,Wolfe Glick,2018-03-18,1643.2
alex-underhill,ALEX UNDERHILL,2018-10-06,1594.1
ashton-cox,Ashton Cox,2018-10-06,1756.2
carson-confer,Carson Confer,2018-10-06,1653.3
collin-heier,Collin Heier,2018-10-06,1648
dylan-salvanera,Dylan Salvanera,2018-10-06,1577
john-mills,John Mills,2018-10-06,1468.2
justin-burns,Justin Burns,2018-10-06,1565.6
nick-navarre,Nick Navarre,2018-10-06,1612.4
patrick-donegan,Patrick Donegan,2018-10-06,1544.5
wolfe-glick,Wolfe Glick,2018-10-06,1625.2
ashton-cox,Ashton Cox,2018-11-16,1805.9
eduardo-cunha,Eduardo Cunha,2018-11-16,1525.7
james-baek,James Baek,2018-11-16,1548.7
justin-burns,Justin Burns,2018-11-16,1562.2
