Assignment, Due, Due_Week, Moodle, File, Marks, Outcomes
Assignment 1, 2025-08-22, 4, https://learning.monash.edu/mod/assign/view.php?id=1366400, "assignment-1.html", 25, "1, 3"
Assignment 2, 2025-09-12, 7, https://learning.monash.edu/mod/assign/view.php?id=1366405, "assignment-2.html", 25, "1, 3"
Assignment 3, 2025-10-10, 10, https://learning.monash.edu/mod/assign/view.php?id=1366411, "assignment-3.html", 20, "1, 2"
Assignment 4, 2025-10-24, 12, , "assignment-4.html", 25, "2"
Oral Presentations, 2025-07-28, 11, https://learning.monash.edu/mod/assign/view.php?id=1366403, "oral-presentations.html", 5, "1"
